algorithm,time,trial01,trial02,trial03,trial04,trial05,trial06,trial07,trial08,trial09,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17,trial18,trial19,trial20,trial21,trial22,trial23,trial24,trial25,trial26,trial27,trial28,trial29,trial30,trial31,trial32,trial33,trial34,trial35,trial36,trial37,trial38,trial39,trial40,trial41,trial42,trial43,trial44,trial45,trial46,trial47,trial48,trial49,trial50,trial51,trial52,trial53,trial54,trial55,trial56,trial57,trial58,trial59,trial60,trial61,trial62,trial63,trial64,trial65,trial66,trial67,trial68,trial69,trial70,trial71,trial72,trial73,trial74,trial75,trial76,trial77,trial78,trial79,trial80,trial81,trial82,trial83,trial84,trial85,trial86,trial87,trial88,trial89,trial90,trial91,trial92,trial93,trial94,trial95,trial96,trial97,trial98,trial99,trial100
karmarkar_karp,0.09074544906616211,63193,10945,300875,122637,101155,678871,50657,1419485,100266,67856,264073,90321,114002,296725,23856,497451,30015,66065,55542,54730,97094,149315,810180,21268,2271589,371537,212235,76843,166520,227641,116171,364395,126648,183378,352245,29515,171612,22150,2615,238274,60788,1103027,507775,145193,54966,113671,149341,15256,174206,270982,45098,130282,283867,97936,2943,96667,249069,199774,174492,307926,125929,372125,640054,35559,97611,244830,6332,110677,51267,392085,133747,196304,10342,51842,522629,65261,313818,3623056,190135,549240,9641,827486,65690,11338,3011,118820,22340,745,164649,118409,239893,335928,142436,401894,39081,477934,802063,137015,817458,290409
repeated_random,518.3878831863403,484275211,53809541,455378275,92159397,192561717,209687813,478237301,132002593,392690186,83388834,5121555,32824999,96157352,110998131,313769336,413236421,269527413,199873347,209809226,194648544,502229710,102571701,49985300,267353770,111902471,47594981,164193987,864943219,619177198,214362853,180042123,295178505,324902324,187330822,234628163,159898619,123387780,198948378,319069819,203224888,28367710,146567153,124392699,223195943,317165004,164495105,107816975,462303056,161299042,258515896,220564118,1448220318,217126331,292213388,353818801,431221171,414376465,59704296,416697736,30348050,96992123,63855803,142878448,109569701,471179839,7356420,502920792,253297725,275108027,165604099,372300847,645015852,8964094,71986502,853441081,375142627,502445832,884748514,36378295,530103926,52620771,7767938,172055984,19066264,255638551,280067358,55145516,813506707,290252667,15627177,478452287,46204420,509869288,273525998,806350299,78631660,114975103,968381,711023024,117679807
hill_climbing,75.46761274337769,30758727,139083773,80437073,169399949,160280629,866883365,153736019,305943985,478346252,27405062,817968165,460854911,58298818,64402285,206058786,156444483,22611523,139978521,230430972,64930382,56611114,477455141,147179358,1024547614,126349189,531891011,69608433,1540714143,46369788,553317777,324624305,29762137,518753878,3542414,219028945,13564819,163615412,176199728,1192360009,253750500,380893432,470429509,104705893,125468275,89655686,417866939,318609665,330108314,603126946,191955082,203699310,889394012,23722739,148097900,2371911,168643719,136306065,876191416,40327994,220940838,375213789,22461369,79784144,230876039,408513291,252699996,40615816,169234789,102315869,603192521,29406171,435683342,93456040,201536256,971514413,382313519,144401270,63827422,166752845,25061090,220485041,740321000,283790414,174580916,45513849,851311508,95757820,749969879,657766733,621452563,89593817,18880340,100806970,875836624,1235057957,128289786,140371217,620485,91217646,535534947
simulated_annealing,216.89785480499268,409827121,75182289,102599383,97634565,78663201,1183923449,65545829,28684253,177267100,64360024,40593109,316247707,469158566,284132019,101183808,4100265,4520363,385865793,43589930,191609578,394620376,265307115,387751540,463355962,51052869,88597813,94248737,41910551,110747122,60884881,307289671,498080855,263600864,247258110,114925935,276592453,962198070,151135850,147366853,366284816,6854574,302708601,42114013,298903791,888622750,774829373,450286991,172177180,551469132,120834646,66068718,342919692,341238143,294414836,20357897,107045413,207659593,88315384,194639788,199634250,40632877,73978431,35669376,163164499,97868725,217829682,562545962,946786893,634728717,303890533,320641505,127900120,130565502,580979840,5983869,302503183,296830948,186341428,31806247,521589252,751615387,499528804,474538112,7377300,779484225,488852340,64582420,112243329,19919263,159103429,138645271,120808756,181937904,49615244,965774141,425616466,535575029,543817571,774257684,19148765
p_repeated_random,2204.0366332530975,119,405,161,83,3,61,1,19,282,56,23,189,188,709,22,13,385,139,4,30,32,129,200,10,281,7,271,43,40,11,141,29,224,100,221,105,74,90,65,124,212,215,857,295,274,177,75,154,46,48,214,328,271,72,147,11,65,54,72,4,209,171,322,233,87,210,66,9,327,29,1323,142,16,68,95,43,66,4,105,204,69,84,458,604,221,86,602,75,105,113,61,12,152,52,169,38,775,49,76,63
p_hill_climbing,1914.6909685134888,285,69,111,315,61,167,45,43,54,338,11,159,306,289,58,129,35,45,148,28,158,3,96,32,75,143,21,139,170,145,223,115,116,64,83,129,100,102,129,80,100,467,41,59,100,235,31,44,38,88,186,32,429,78,41,279,171,268,438,238,233,135,474,31,117,12,310,301,241,53,629,204,2,264,613,29,414,52,209,40,101,128,318,314,271,164,256,97,343,89,13,156,74,84,29,200,243,267,278,275
p_simulated_annealing,2002.3148381710052,151,69,1,9,703,1059,145,239,6,26,19,259,50,17,516,235,151,93,36,4,222,239,410,44,39,39,117,67,162,115,263,97,44,566,145,321,62,94,257,64,374,719,101,483,232,609,9,316,404,78,10,158,13,72,117,441,125,128,64,302,233,35,476,29,257,58,42,53,111,15,347,406,168,134,295,677,38,434,187,292,91,4,196,606,117,54,108,15,239,147,229,484,16,174,213,288,487,59,6,273
