dim,cross,time
128,76,2
128,77,2
128,78,1
128,79,2
128,80,1
128,81,2
128,82,2
128,83,2
128,84,3
128,85,2
128,86,2
128,87,2
128,88,1
128,89,2
128,90,2
128,91,3
128,92,2
128,93,2
128,94,1
128,95,2
128,96,1
128,97,2
128,98,2
128,99,2
128,100,2
256,1,10171
256,2,1274
256,3,1218
256,4,280
256,5,303
256,6,310
256,7,353
256,8,151
256,9,79
256,10,213
256,11,149
256,12,172
256,13,113
256,14,190
256,15,120
256,16,30
256,17,38
256,18,31
256,19,33
256,20,29
256,21,26
256,22,26
256,23,26
256,24,43
256,25,34
256,26,31
256,27,31
256,28,56
256,29,82
256,30,106
256,31,100
256,32,60
256,33,42
256,34,60
256,35,129
256,36,37
256,37,27
256,38,43
256,39,39
256,40,31
256,41,35
256,42,47
256,43,52
256,44,76
256,45,42
256,46,32
256,47,28
256,48,22
256,49,30
256,50,48
256,51,33
256,52,35
256,53,69
256,54,50
256,55,65
256,56,29
256,57,20
256,58,17
256,59,22
256,60,19
256,61,28
256,62,31
256,63,22
256,64,16
256,65,17
256,66,23
256,67,15
256,68,12
256,69,12
256,70,19
256,71,19
256,72,33
256,73,17
256,74,18
256,75,16
256,76,25
256,77,24
256,78,22
256,79,23
256,80,29
256,81,15
256,82,20
256,83,18
256,84,64
256,85,23
256,86,68
256,87,29
256,88,32
256,89,21
256,90,18
256,91,14
256,92,15
256,93,15
256,94,24
256,95,42
256,96,17
256,97,15
256,98,15
256,99,21
256,100,30
512,1,44581
512,2,7721
512,3,7784
512,4,1678
512,5,1906
512,6,1910
512,7,1828
512,8,468
512,9,517
512,10,473
512,11,470
512,12,463
512,13,462
512,14,467
512,15,462
512,16,185
512,17,179
512,18,179
512,19,181
512,20,179
512,21,183
512,22,182
512,23,182
512,24,180
512,25,180
512,26,181
512,27,182
512,28,184
512,29,180
512,30,179
512,31,181
512,32,105
512,33,102
512,34,111
512,35,105
512,36,104
512,37,104
512,38,105
512,39,105
512,40,104
512,41,106
512,42,105
512,43,106
512,44,105
512,45,104
512,46,106
512,47,103
512,48,104
512,49,103
512,50,106
512,51,104
512,52,104
512,53,108
512,54,104
512,55,106
512,56,103
512,57,104
512,58,104
512,59,107
512,60,103
512,61,106
512,62,106
512,63,108
512,64,83
512,65,84
512,66,82
512,67,83
512,68,85
512,69,83
512,70,82
512,71,83
512,72,82
512,73,85
512,74,85
512,75,88
512,76,91
512,77,82
512,78,85
512,79,83
512,80,82
512,81,83
512,82,82
512,83,85
512,84,83
512,85,82
512,86,85
512,87,83
512,88,84
512,89,84
512,90,82
512,91,84
512,92,82
512,93,84
512,94,84
512,95,83
512,96,87
512,97,83
512,98,86
512,99,85
512,100,82
1024,1,309023
1024,2,56707
1024,3,64807
1024,4,15456
1024,5,12896
1024,6,14297
1024,7,11988
1024,8,3313
1024,9,3483
1024,10,3406
1024,11,3504
1024,12,3468
1024,13,3583
1024,14,3437
1024,15,3352
1024,16,1305
1024,17,1301
1024,18,1406
1024,19,1457
1024,20,1351
1024,21,1446
1024,22,1428
1024,23,1443
1024,24,1352
1024,25,1347
1024,26,1295
1024,27,1443
1024,28,1549
1024,29,1412
1024,30,1420
1024,31,1584
1024,32,963
1024,33,1007
1024,34,1784
1024,35,841
1024,36,861
1024,37,825
1024,38,1045
1024,39,881
1024,40,842
1024,41,818
1024,42,947
1024,43,1260
1024,44,765
1024,45,862
1024,46,825
1024,47,786
1024,48,765
1024,49,791
1024,50,821
1024,51,866
1024,52,884
1024,53,934
1024,54,866
1024,55,1224
1024,56,810
1024,57,857
1024,58,870
1024,59,774
1024,60,893
1024,61,769
1024,62,767
1024,63,838
1024,64,700
1024,65,1387
1024,66,830
1024,67,688
1024,68,767
1024,69,711
1024,70,744
1024,71,1172
1024,72,714
1024,73,651
1024,74,988
1024,75,664
1024,76,679
1024,77,945
1024,78,734
1024,79,736
1024,80,824
1024,81,639
1024,82,648
1024,83,641
1024,84,607
1024,85,803
1024,86,1474
1024,87,1040
1024,88,703
1024,89,912
1024,90,913
1024,91,719
1024,92,815
1024,93,864
1024,94,642
1024,95,666
1024,96,695
1024,97,912
1024,98,664
1024,99,681
1024,100,967
