dim,cross,time
10,1,11
10,2,5
10,3,0
10,4,0
10,5,0
100,1,843
100,2,157
100,3,180
100,4,41
100,5,40
100,6,39
100,7,10
100,8,11
100,9,10
100,10,11
100,11,10
100,12,11
100,13,3
100,14,4
100,15,3
100,16,3
100,17,4
100,18,4
100,19,3
100,20,3
100,21,4
100,22,4
100,23,3
100,24,3
100,25,2
100,26,1
100,27,2
100,28,2
100,29,1
100,30,2
100,31,1
100,32,2
100,33,1
100,34,2
100,35,1
100,36,1
100,37,2
100,38,1
100,39,2
100,40,1
100,41,2
100,42,2
100,43,1
100,44,2
100,45,1
100,46,2
100,47,1
100,48,1
100,49,2
100,50,1
1000,1,257325
1000,2,49416
1000,3,49356
1000,4,11574
1000,5,11489
1000,6,11475
1000,7,11615
1000,8,3365
1000,9,3375
1000,10,3342
1000,11,3354
1000,12,3383
1000,13,3356
1000,14,3365
1000,15,3371
1000,16,1381
1000,17,1386
1000,18,1433
1000,19,1426
1000,20,1381
1000,21,36873
1000,22,1389
1000,23,1382
1000,24,1384
1000,25,1386
1000,26,1386
1000,27,1374
1000,28,1378
1000,29,1376
1000,30,1379
1000,31,1372
1000,32,837
1000,33,835
1000,34,837
1000,35,840
1000,36,837
1000,37,837
1000,38,836
1000,39,839
1000,40,836
1000,41,865
1000,42,841
1000,43,839
1000,44,838
1000,45,839
1000,46,841
1000,47,836
1000,48,839
1000,49,835
1000,50,835
1000,51,838
1000,52,839
1000,53,839
1000,54,837
1000,55,838
1000,56,837
1000,57,838
1000,58,839
1000,59,835
1000,60,837
1000,61,835
1000,62,836
1000,63,655
1000,64,656
1000,65,658
1000,66,668
1000,67,711
1000,68,657
1000,69,656
1000,70,657
1000,71,656
1000,72,660
1000,73,670
1000,74,658
1000,75,659
1000,76,656
1000,77,656
1000,78,658
1000,79,657
1000,80,662
1000,81,658
1000,82,656
1000,83,658
1000,84,658
1000,85,656
1000,86,655
1000,87,658
1000,88,655
1000,89,658
1000,90,660
1000,91,657
1000,92,659
1000,93,661
1000,94,657
1000,95,659
1000,96,659
1000,97,676
1000,98,713
1000,99,663
1000,100,657
1000,101,656
1000,102,666
1000,103,108095
1000,104,780
1000,105,1390
1000,106,1855
1000,107,768
1000,108,755
1000,109,737
1000,110,658
1000,111,659
1000,112,660
1000,113,657
1000,114,658
1000,115,658
1000,116,654
1000,117,660
1000,118,655
1000,119,656
1000,120,656
1000,121,656
1000,122,661
1000,123,660
1000,124,654
1000,125,581
1000,126,584
1000,127,582
1000,128,581
1000,129,584
1000,130,585
1000,131,582
1000,132,582
1000,133,581
1000,134,582
1000,135,581
1000,136,582
1000,137,583
1000,138,584
1000,139,582
1000,140,582
1000,141,582
1000,142,583
1000,143,583
1000,144,586
1000,145,583
1000,146,584
1000,147,581
1000,148,581
1000,149,583
1000,150,581
1000,151,584
1000,152,584
1000,153,583
1000,154,594
1000,155,720
1000,156,584
1000,157,652
1000,158,594
1000,159,584
1000,160,582
1000,161,584
1000,162,765
1000,163,938
1000,164,597
1000,165,670
1000,166,1370
1000,167,1161
1000,168,986
1000,169,1019
1000,170,890
1000,171,925
1000,172,775
1000,173,980
1000,174,749
1000,175,702
1000,176,699
1000,177,691
1000,178,750
1000,179,702
1000,180,695
1000,181,673
1000,182,681
1000,183,701
1000,184,682
1000,185,677
1000,186,688
1000,187,662
1000,188,670
1000,189,669
1000,190,704
1000,191,678
1000,192,684
1000,193,682
1000,194,666
1000,195,700
1000,196,699
1000,197,665
1000,198,704
1000,199,684
1000,200,672
1000,201,673
1000,202,673
1000,203,669
1000,204,705
1000,205,677
1000,206,681
1000,207,699
1000,208,676
1000,209,677
1000,210,677
1000,211,664
1000,212,687
1000,213,669
1000,214,664
1000,215,672
1000,216,674
1000,217,687
1000,218,666
1000,219,670
1000,220,691
1000,221,604
1000,222,591
1000,223,591
1000,224,590
1000,225,586
1000,226,586
1000,227,585
1000,228,585
1000,229,586
1000,230,587
1000,231,585
1000,232,585
1000,233,589
1000,234,587
1000,235,591
1000,236,594
1000,237,587
1000,238,586
1000,239,626
1000,240,590
1000,241,597
1000,242,584
1000,243,586
1000,244,783
1000,245,598
1000,246,591
1000,247,591
1000,248,588
1000,249,591
1000,250,616
1000,251,612
1000,252,613
1000,253,615
1000,254,652
1000,255,657
1000,256,613
1000,257,613
1000,258,613
1000,259,623
1000,260,613
1000,261,612
1000,262,612
1000,263,614
